,TOTAL_ACCIDENTES,GRAVEDAD,GRAVEDAD,GRAVEDAD,CLASE,CLASE,CLASE,CLASE,CLASE,CLASE,CLASE,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA
,,SOLO DANOS,CON HERIDOS,CON MUERTOS,CHOQUE,ATROPELLO,VOLCAMIENTO,OTRO,CAIDA DE OCUPANTE,INCENDIO,AUTOLESION,KENNEDY,ENGATIVA,FONTIBON,SUBA,PUENTE ARANDA,CHAPINERO,TEUSAQUILLO,USAQUEN,LOS MARTIRES,SANTA FE,BARRIOS UNIDOS,RAFAEL URIBE URIBE,BOSA,SAN CRISTOBAL,TUNJUELITO,CIUDAD BOLIVAR,ANTONIO NARIÑO,USME,CANDELARIA,Jueves,Miercoles,Martes,Viernes,Domingo,Sábado,Lunes
FECHA_OCURRENCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-07-13,654,461,185,8,554,55,15,25,5,0,0,54,65,50,61,46,55,50,71,24,30,31,16,30,4,15,23,9,11,9,97,81,93,120,76,93,94
2008-07-20,709,500,200,9,602,65,12,19,11,0,0,69,85,59,73,53,51,62,84,21,19,37,13,15,13,13,21,8,5,8,112,94,86,151,64,99,103
2008-07-27,654,470,181,3,554,59,11,18,12,0,0,66,67,53,52,45,71,36,76,24,21,54,11,13,17,10,11,11,8,8,101,93,97,84,71,111,97
2008-08-03,735,523,202,10,623,72,14,10,6,0,10,82,69,44,69,46,80,45,86,27,35,44,13,15,10,17,25,8,8,12,105,123,96,122,68,121,100
2008-08-10,643,463,168,12,546,64,1,5,7,0,20,55,59,55,53,45,55,62,76,26,25,50,11,17,9,10,13,4,11,7,71,124,100,83,64,94,107
2008-08-17,705,516,178,11,591,64,6,15,9,0,20,50,74,53,70,52,76,41,95,31,29,42,8,26,10,9,23,5,4,7,101,106,95,105,74,106,118
2008-08-24,753,530,216,7,633,70,10,16,14,0,10,69,69,49,68,48,77,58,81,35,31,49,18,28,11,12,20,12,8,10,112,93,106,134,76,148,84
2008-08-31,727,496,220,11,591,81,10,24,14,0,7,72,78,55,81,47,66,51,77,21,35,54,15,19,8,14,18,6,6,4,101,107,78,128,68,119,126
2008-09-07,705,530,166,9,604,64,9,8,8,1,11,65,79,43,70,43,72,61,84,28,33,50,15,15,12,9,12,7,3,4,120,99,105,98,69,119,95
2008-09-14,698,527,163,8,598,69,7,5,6,0,13,55,73,65,57,36,65,64,89,31,34,39,11,20,8,9,22,12,4,4,101,97,101,108,71,111,109
2008-09-21,690,490,191,9,563,81,12,20,9,0,5,62,64,49,83,52,63,43,85,33,24,39,15,21,9,6,27,7,6,2,101,88,88,115,74,122,102
2008-09-28,709,546,156,7,608,63,10,14,6,0,8,84,74,48,73,47,69,51,86,20,32,38,9,18,12,8,24,4,1,11,81,100,88,127,72,134,107
2008-10-05,718,528,185,5,591,77,11,12,7,0,20,63,68,71,78,42,75,48,80,20,28,50,14,15,11,16,23,13,2,1,129,89,92,118,87,107,96
2008-10-12,616,463,147,6,528,53,3,9,6,0,17,59,59,49,51,30,55,49,74,18,27,37,22,12,11,11,20,13,12,7,101,115,96,88,57,79,80
2008-10-19,623,452,161,10,527,62,5,6,5,0,18,64,47,58,71,38,52,36,81,20,24,38,17,20,11,11,15,8,8,4,83,101,91,124,65,102,57
2008-10-26,723,549,170,4,632,56,1,2,10,0,22,62,50,42,63,65,74,55,110,17,25,50,16,21,17,20,22,5,5,4,87,93,103,127,69,130,114
2008-11-02,752,547,200,5,640,85,5,5,6,0,11,66,75,50,83,63,67,55,80,30,25,42,20,13,19,7,24,14,12,7,113,102,105,123,109,111,89
2008-11-09,726,496,219,11,596,89,10,14,5,0,12,74,70,64,72,49,42,50,85,33,32,52,13,19,5,16,27,12,8,3,111,95,118,129,62,125,86
2008-11-16,698,508,177,13,589,63,6,10,11,0,19,81,69,52,69,53,61,40,73,29,22,42,17,19,10,13,25,10,6,7,89,99,122,101,81,108,98
2008-11-23,618,451,163,4,527,56,7,8,6,0,14,75,59,45,54,44,58,36,74,31,19,31,13,17,15,8,19,7,6,7,106,88,92,100,62,113,57
2008-11-30,700,521,174,5,601,61,7,9,6,0,16,67,80,69,48,42,70,57,90,23,29,42,14,6,12,9,20,5,8,9,102,110,78,129,78,114,89
2008-12-07,741,544,192,5,634,73,6,13,10,0,5,68,60,63,70,60,59,46,83,34,23,56,19,18,12,11,25,12,12,10,116,108,105,102,82,121,107
2008-12-14,691,505,176,10,584,74,5,6,9,0,13,90,74,57,70,60,63,28,61,22,28,33,17,15,4,14,26,11,11,7,103,98,105,116,78,128,63
2008-12-21,753,529,208,16,633,92,6,8,7,0,7,90,60,56,66,60,69,49,87,26,32,40,16,23,15,11,24,13,8,8,118,111,104,131,97,99,93
2008-12-28,579,407,158,14,480,67,5,10,6,0,11,80,52,41,49,67,29,34,57,30,15,21,18,23,13,11,14,11,8,6,48,107,109,68,58,76,113
2009-01-04,363,231,126,6,297,50,2,5,3,0,6,52,35,24,21,33,20,19,34,9,12,24,10,22,7,10,11,8,9,3,31,78,79,36,40,39,60
