FECHA_OCURRENCIA,LOCALIDAD_TEUSAQUILLO,LOCALIDAD_ENGATIVA,LOCALIDAD_PUENTE-ARANDA,LOCALIDAD_RAFAEL-URIBE-URIBE,LOCALIDAD_SUBA,LOCALIDAD_LOS-MARTIRES,LOCALIDAD_FONTIBON,LOCALIDAD_USME,LOCALIDAD_CIUDAD-BOLIVAR,LOCALIDAD_KENNEDY,LOCALIDAD_TUNJUELITO,LOCALIDAD_ANTONIO-NARIÑO,LOCALIDAD_BOSA,LOCALIDAD_CHAPINERO,LOCALIDAD_BARRIOS-UNIDOS,LOCALIDAD_USAQUEN,LOCALIDAD_SANTA-FE,LOCALIDAD_CANDELARIA,LOCALIDAD_SAN-CRISTOBAL,GRAVEDAD_CON-HERIDOS,GRAVEDAD_SOLO-DANOS,GRAVEDAD_CON-MUERTOS,CLASE_CON-HERIDOS,CLASE_SOLO-DANOS,CLASE_CON-MUERTOS
2010-02-21,44,45,42,15,50,24,33,7,14,49,8,7,11,52,26,62,24,6,12,178,348,5.0,178,348,5.0
2010-02-28,39,71,45,17,63,22,35,7,11,52,11,12,13,62,32,79,27,6,7,207,393,11.0,207,393,11.0
2010-03-07,30,49,53,15,61,28,41,8,11,56,20,15,15,56,39,66,26,7,14,216,387,7.0,216,387,7.0
2010-03-14,48,63,44,10,52,28,30,8,6,55,16,13,14,58,23,56,23,8,11,190,368,8.0,190,368,8.0
2010-03-21,37,64,50,20,61,25,26,6,16,60,7,10,14,50,45,72,24,9,7,203,395,5.0,203,395,5.0
2010-03-28,43,47,34,12,62,28,37,7,16,54,12,12,10,41,37,55,37,6,7,180,371,6.0,180,371,6.0
2010-04-04,23,39,34,14,56,23,27,6,10,48,14,3,12,17,35,36,19,4,11,145,275,11.0,145,275,11.0
2010-04-11,36,55,43,7,70,20,43,4,14,55,5,11,6,41,34,76,31,6,14,159,401,11.0,159,401,11.0
2010-04-18,41,54,40,11,66,19,34,7,10,65,7,8,10,39,31,54,20,8,9,159,358,16.0,159,358,16.0
2010-04-25,35,49,34,11,66,29,45,6,8,50,18,11,11,58,35,60,36,7,8,168,399,10.0,168,399,10.0
2010-05-02,35,58,39,9,65,25,30,5,12,36,11,11,10,45,36,57,34,10,6,192,333,9.0,192,333,9.0
2010-05-09,41,61,43,15,90,48,43,8,11,44,10,13,9,51,31,71,31,11,6,238,389,10.0,238,389,10.0
2010-05-16,43,68,51,17,56,31,53,9,12,59,19,15,10,62,27,72,20,4,11,275,360,4.0,275,360,4.0
2010-05-23,44,66,48,14,59,27,43,6,12,60,8,15,10,56,36,47,26,11,8,221,368,7.0,221,368,7.0
2010-05-30,44,59,53,9,59,40,46,3,16,59,18,13,18,66,36,61,24,11,15,226,420,4.0,226,420,4.0
2010-06-06,34,71,50,20,54,26,51,7,15,68,20,5,11,51,46,68,42,10,20,263,401,5.0,263,401,5.0
2010-06-13,27,55,41,17,45,28,26,6,11,64,11,9,11,55,33,46,20,3,15,193,319,11.0,193,319,11.0
2010-06-20,34,71,50,21,45,16,48,6,9,36,13,13,16,50,33,65,32,7,7,200,367,5.0,200,367,5.0
2010-06-27,38,56,42,14,64,25,41,3,8,59,13,6,17,51,42,51,30,8,8,209,355,12.0,209,355,12.0
2010-07-04,30,60,42,17,46,36,42,4,7,48,7,10,14,41,37,43,24,3,18,190,333,6.0,190,333,6.0
2010-07-11,32,59,51,14,64,22,45,9,13,53,10,4,14,41,36,39,29,7,11,191,347,15.0,191,347,15.0
2010-07-18,35,60,44,17,54,17,38,7,11,61,14,12,15,44,28,55,19,5,11,173,363,11.0,173,363,11.0
2010-07-25,49,61,37,17,66,18,27,8,14,50,7,11,24,41,28,57,18,6,9,181,355,12.0,181,355,12.0
2010-08-01,37,62,49,13,64,31,32,5,16,46,11,9,13,37,41,59,17,4,9,173,374,8.0,173,374,8.0
2010-08-08,29,56,41,17,55,21,43,4,11,47,14,11,18,47,43,33,25,11,8,182,349,3.0,182,349,3.0
2010-08-15,31,51,48,11,50,27,37,6,14,44,13,13,13,49,42,46,33,6,7,193,342,6.0,193,342,6.0
2010-08-22,41,42,35,19,48,29,35,8,10,53,8,11,17,47,45,53,23,2,4,175,344,11.0,175,344,11.0
2010-08-29,32,53,48,19,54,44,28,5,13,52,8,11,15,57,43,57,27,7,8,198,376,7.0,198,376,7.0
2010-09-05,28,58,40,20,54,30,46,7,14,50,8,12,20,40,50,66,31,5,12,198,383,10.0,198,383,10.0
2010-09-12,31,72,21,17,51,18,39,6,15,56,7,12,13,55,39,62,31,5,6,196,352,8.0,196,352,8.0
